model,Scenario,Region,Variable,Unit,1,2000,2004,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100
POLES,EU7,Denmark,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,5.820551758,5.690273926,5.36156543,4.826593262,4.189888672,,2.314766357,,0.854993835,,,,,
POLES,EU7,Denmark,Final Energy|Industry,EJ/yr,,,,,0.126497467,0.127446488,0.125838843,0.121987682,0.118162914,,0.106597001,,0.097116506,,,,,
POLES,EU7,Denmark,Value Added|Industry,billion €2010/yr,,,,,32.04645231,34.56847685,37.05771338,39.59205714,41.95661164,,45.07399014,,48.10439954,,,,,
POLES,EU7,EU12,Emissions|CO2,Mt CO2/yr,,,,,724.4023071,740.1285869,676.7786685,575.5581563,482.9578833,,275.9307651,,122.2418035,,,,,
POLES,EU7,EU12,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,672.6158784,686.4058589,626.9479019,530.2188442,442.1270947,,245.6599688,,108.8094473,,,,,
POLES,EU7,EU12,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,142.2341212,145.3899463,134.636361,118.8754748,103.5649116,,66.45534454,,29.19657718,,,,,
POLES,EU7,EU12,Final Energy|Industry,EJ/yr,,,,,2.593310648,2.698954473,2.62732214,2.460594866,2.33069598,,2.067325665,,1.806357289,,,,,
POLES,EU7,EU12,Value Added|Industry,billion €2010/yr,,,,,429.4160182,474.1549021,510.6503199,544.2580614,577.718851,,627.9197336,,652.2718099,,,,,
POLES,EU7,EU15,Emissions|CO2,Mt CO2/yr,,,,,2993.426168,2989.569813,2862.047962,2679.124873,2385.18269,,1627.803274,,878.854292,,,,,
POLES,EU7,EU15,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,2815.647067,2810.017169,2690.995877,2517.923125,2237.010908,,1518.366984,,829.4048003,,,,,
POLES,EU7,EU15,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,574.7708046,565.5388171,536.039938,495.6459297,444.6095189,,292.3830795,,134.2401935,,,,,
POLES,EU7,EU15,Final Energy|Industry,EJ/yr,,,,,13.60079927,13.46737536,13.23771125,12.73727692,12.20055644,,10.8081641,,9.27861096,,,,,
POLES,EU7,EU15,Value Added|Industry,billion €2010/yr,,,,,2541.238376,2721.177037,2892.554855,3049.871697,3183.254282,,3403.741748,,3560.890297,,,,,
POLES,EU7,EU27,Emissions|CO2,Mt CO2/yr,,,,,3717.828475,3729.698399,3538.82663,3254.683029,2868.140574,,1903.73404,,1001.096095,,,,,
POLES,EU7,EU27,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,3488.262946,3496.423028,3317.943779,3048.141969,2679.138003,,1764.026953,,938.2142476,,,,,
POLES,EU7,EU27,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,717.0049258,710.9287634,670.676299,614.5214045,548.1744305,,358.838424,,163.4367707,,,,,
POLES,EU7,EU27,Final Energy|Industry,EJ/yr,,,,,16.19410992,16.16632983,15.86503339,15.19787178,14.53125242,,12.87548977,,11.08496825,,,,,
POLES,EU7,EU27,Value Added|Industry,billion €2010/yr,,,,,2970.654394,3195.331939,3403.205175,3594.129759,3760.973133,,4031.661482,,4213.162107,,,,,
POLES,EU7,Estonia,Emissions|CO2,Mt CO2/yr,,,,,16.32277734,17.34172266,17.33970508,16.82966406,15.11691992,,8.153445313,,3.217632813,,,,,
POLES,EU7,Estonia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,15.81887695,16.85038867,16.87134375,16.38212695,14.70034961,,7.851597656,,3.094815918,,,,,
POLES,EU7,Estonia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,1.599394653,1.56778186,1.473152954,1.338889526,1.188948364,,0.688436096,,0.256316681,,,,,
POLES,EU7,Estonia,Final Energy|Industry,EJ/yr,,,,,0.033468636,0.034242162,0.034197618,0.033706331,0.032981057,,0.028358208,,0.023658065,,,,,
POLES,EU7,Estonia,Value Added|Industry,billion €2010/yr,,,,,5.569768183,6.268493433,6.81433946,7.419663977,7.969355448,,8.236371481,,7.81430562,,,,,
POLES,EU7,Finland,Emissions|CO2,Mt CO2/yr,,,,,45.11358594,45.22697656,42.10810938,36.62823828,31.96132422,,20.55316992,,9.941699219,,,,,
POLES,EU7,Finland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,43.23214844,43.33289063,40.37003125,35.07253125,30.6140293,,19.66564258,,9.568311523,,,,,
POLES,EU7,Finland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,10.31982324,9.632201172,9.049495117,8.408016602,7.589380371,,4.684661133,,1.792734863,,,,,
POLES,EU7,Finland,Final Energy|Industry,EJ/yr,,,,,0.504803784,0.52476329,0.536465887,0.527047877,0.517434223,,0.477737431,,0.433702312,,,,,
POLES,EU7,Finland,Value Added|Industry,billion €2010/yr,,,,,49.37502714,53.60242477,58.098931,62.2576866,66.31582609,,72.78238572,,76.72945225,,,,,
POLES,EU7,France,Emissions|CO2,Mt CO2/yr,,,,,358.5123125,369.5626875,357.3834063,325.789625,286.0794063,,179.4232344,,85.77834375,,,,,
POLES,EU7,France,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,340.2598438,351.2586563,340.796375,310.9234375,273.079375,,170.6371719,,82.05472656,,,,,
POLES,EU7,France,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,74.45541406,74.57146094,69.878,63.34666016,55.21191016,,33.69766797,,15.89847461,,,,,
POLES,EU7,France,Final Energy|Industry,EJ/yr,,,,,1.814601315,1.840587278,1.820151278,1.759441861,1.692703124,,1.539495192,,1.399342716,,,,,
POLES,EU7,France,Value Added|Industry,billion €2010/yr,,,,,338.8619311,367.4657391,394.711564,420.4356832,441.9376091,,483.2512316,,528.5277783,,,,,
POLES,EU7,Germany,Emissions|CO2,Mt CO2/yr,,,,,769.1916875,736.7574375,684.077625,678.309125,592.128625,,408.9428438,,238.0721094,,,,,
POLES,EU7,Germany,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,723.065,691.115875,641.3731875,638.4549375,555.79625,,382.70125,,226.6749219,,,,,
POLES,EU7,Germany,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,137.1789063,132.950125,122.8966484,111.8246172,98.39039063,,60.53499219,,24.66591797,,,,,
POLES,EU7,Germany,Final Energy|Industry,EJ/yr,,,,,3.230117181,3.116507055,2.986803916,2.800642106,2.617220524,,2.188967962,,1.747554947,,,,,
POLES,EU7,Germany,Value Added|Industry,billion €2010/yr,,,,,663.1021554,689.2762777,711.5615566,728.3452097,739.7998991,,743.4485937,,720.6533297,,,,,
POLES,EU7,Greece,Emissions|CO2,Mt CO2/yr,,,,,92.07848438,93.81688281,90.04521094,82.73088281,73.04917188,,49.83698438,,23.96391016,,,,,
POLES,EU7,Greece,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,84.80488281,85.811125,81.16067188,73.01916406,63.00353906,,41.07226172,,19.38145898,,,,,
POLES,EU7,Greece,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,16.31219043,17.55844141,18.08183789,18.14090234,17.71106055,,14.89485059,,8.244115234,,,,,
POLES,EU7,Greece,Final Energy|Industry,EJ/yr,,,,,0.215998423,0.237689358,0.25238196,0.260661255,0.266738902,,0.270401759,,0.250818472,,,,,
POLES,EU7,Greece,Value Added|Industry,billion €2010/yr,,,,,55.37449819,64.52396674,73.51952445,82.88211334,91.65861528,,111.6951824,,129.6516991,,,,,
POLES,EU7,Hungary,Emissions|CO2,Mt CO2/yr,,,,,55.18607813,55.06835547,50.80737891,45.43032422,39.39261328,,23.55767969,,10.44858301,,,,,
POLES,EU7,Hungary,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,51.16995703,50.73680859,46.88234375,41.94410547,36.33234766,,21.45226758,,9.540901367,,,,,
POLES,EU7,Hungary,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,10.25983594,10.65940625,9.928737305,8.996808594,7.984015137,,5.277071289,,2.466184082,,,,,
POLES,EU7,Hungary,Final Energy|Industry,EJ/yr,,,,,0.223244224,0.230655923,0.224319585,0.212643402,0.200322148,,0.166946698,,0.136751232,,,,,
POLES,EU7,Hungary,Value Added|Industry,billion €2010/yr,,,,,41.8419657,45.63429021,48.36465846,50.80438706,52.73222335,,54.41051969,,55.84484592,,,,,
POLES,EU7,Ireland,Emissions|CO2,Mt CO2/yr,,,,,44.65952734,47.90112891,47.73595313,45.99101172,42.06378125,,28.13155664,,14.45343945,,,,,
POLES,EU7,Ireland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,41.46458984,44.58874609,44.35336719,42.54451172,38.67442188,,25.32486328,,13.06677148,,,,,
POLES,EU7,Ireland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,7.15348291,7.41364209,7.312644043,7.126749512,6.710898438,,4.835239258,,2.223627686,,,,,
POLES,EU7,Ireland,Final Energy|Industry,EJ/yr,,,,,0.103621194,0.107878279,0.108148969,0.106297394,0.103915916,,0.095073867,,0.084932918,,,,,
POLES,EU7,Ireland,Value Added|Industry,billion €2010/yr,,,,,52.98987496,58.33648628,64.0758812,70.59126244,76.28948525,,85.34723222,,91.96894084,,,,,
POLES,EU7,Italy,Emissions|CO2,Mt CO2/yr,,,,,405.234375,405.004375,393.8339375,369.375625,340.4479375,,260.0978594,,161.3683594,,,,,
POLES,EU7,Italy,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,378.0710313,376.2452188,365.9385,342.9657813,316.0724375,,241.9425938,,153.0431563,,,,,
POLES,EU7,Italy,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,77.60090625,78.85846094,74.77696875,68.64173438,61.29654688,,40.58020703,,17.87949414,,,,,
POLES,EU7,Italy,Final Energy|Industry,EJ/yr,,,,,1.664373371,1.668512415,1.609043664,1.516872897,1.423891756,,1.204589462,,0.983529447,,,,,
POLES,EU7,Italy,Value Added|Industry,billion €2010/yr,,,,,340.9113352,359.9084462,377.0692907,390.475934,401.1313231,,415.5165783,,423.9239384,,,,,
POLES,EU7,Latvia,Emissions|CO2,Mt CO2/yr,,,,,7.066484863,7.664745117,8.03914209,8.260344727,8.137317871,,5.260507324,,2.208955078,,,,,
POLES,EU7,Latvia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,6.919308105,7.500708496,7.840221191,8.02426709,7.886648438,,5.081463867,,2.128987305,,,,,
POLES,EU7,Latvia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,1.070061035,1.03530896,0.986147278,0.955432434,0.927901428,,0.720322998,,0.376686768,,,,,
POLES,EU7,Latvia,Final Energy|Industry,EJ/yr,,,,,0.029386458,0.030675626,0.031844496,0.032470453,0.032722226,,0.028520175,,0.021087541,,,,,
POLES,EU7,Latvia,Value Added|Industry,billion €2010/yr,,,,,5.057642642,5.734686833,6.317322804,6.984687859,7.638113613,,8.000495779,,6.892881347,,,,,
POLES,EU7,Lithuania,Emissions|CO2,Mt CO2/yr,,,,,19.63508789,20.59307813,18.94394727,16.35851953,14.19937109,,8.715467773,,3.56021875,,,,,
POLES,EU7,Lithuania,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,17.64367188,18.42064063,16.75157813,14.16319531,12.08645703,,7.072444824,,2.901833008,,,,,
POLES,EU7,Lithuania,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,4.125564453,4.481996582,4.465824707,4.322667969,4.029655029,,2.893308105,,1.232171021,,,,,
POLES,EU7,Lithuania,Final Energy|Industry,EJ/yr,,,,,0.068812777,0.076076967,0.077108774,0.077150734,0.076111409,,0.068572143,,0.051819848,,,,,
POLES,EU7,Lithuania,Value Added|Industry,billion €2010/yr,,,,,15.40830527,17.73113412,19.24725449,20.81493656,22.12986263,,23.88040329,,21.93312251,,,,,
POLES,EU7,Luxembourg,Emissions|CO2,Mt CO2/yr,,,,,10.339875,10.95125,11.0762041,10.94408789,10.41195215,,8.25428418,,6.11678418,,,,,
POLES,EU7,Luxembourg,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,9.900075195,10.52311426,10.66772852,10.55730078,10.05571484,,7.996069824,,6.007284668,,,,,
POLES,EU7,Luxembourg,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,1.870383179,1.886561279,1.879714844,1.777087891,1.623865112,,1.127081665,,0.627269226,,,,,
POLES,EU7,Luxembourg,Final Energy|Industry,EJ/yr,,,,,0.037619287,0.038305216,0.038655464,0.038094626,0.037314873,,0.033362354,,0.028226739,,,,,
POLES,EU7,Luxembourg,Value Added|Industry,billion €2010/yr,,,,,4.063189865,4.449819449,4.841370941,5.222183214,5.581077322,,6.091825488,,6.426839047,,,,,
POLES,EU7,Netherlands,Emissions|CO2,Mt CO2/yr,,,,,163.9426094,167.39575,165.138875,154.096125,140.2218125,,100.2993984,,53.17507813,,,,,
POLES,EU7,Netherlands,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,158.072,161.5328438,159.5585781,148.8679219,135.4368594,,96.74179688,,51.59321484,,,,,
POLES,EU7,Netherlands,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,35.35860156,34.36878516,32.78853906,30.44222461,27.84764258,,20.4392168,,11.31055469,,,,,
POLES,EU7,Netherlands,Final Energy|Industry,EJ/yr,,,,,1.100049481,1.068665817,1.036223841,0.983008714,0.929505907,,0.797632011,,0.637459762,,,,,
POLES,EU7,Netherlands,Value Added|Industry,billion €2010/yr,,,,,106.6537061,114.1807114,121.8251907,128.789299,135.1627058,,147.1973363,,155.200342,,,,,
POLES,EU7,Poland,Emissions|CO2,Mt CO2/yr,,,,,317.4653125,317.7737813,290.0702813,240.6920313,195.149375,,103.6520547,,46.89279688,,,,,
POLES,EU7,Poland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,300.666125,300.69225,274.2399063,226.2303438,182.0043594,,93.47252344,,42.19492578,,,,,
POLES,EU7,Poland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,50.11,49.51090625,44.89221484,38.36599219,32.43337891,,20.33548438,,9.164882813,,,,,
POLES,EU7,Poland,Final Energy|Industry,EJ/yr,,,,,0.890455329,0.899672995,0.861292223,0.787771933,0.733920527,,0.654049998,,0.599511326,,,,,
POLES,EU7,Poland,Value Added|Industry,billion €2010/yr,,,,,155.724619,171.9203711,185.1397293,196.2784509,208.3054802,,227.5405741,,243.6773374,,,,,
POLES,EU7,Portugal,Emissions|CO2,Mt CO2/yr,,,,,54.09439453,55.79526953,54.33719922,49.93026563,43.78637891,,26.90871875,,11.69907227,,,,,
POLES,EU7,Portugal,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,47.7701875,49.21086719,47.57516016,43.06480859,37.04185156,,21.24666602,,8.86431543,,,,,
POLES,EU7,Portugal,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,13.60633691,14.16127832,14.46704785,14.1484834,13.32809766,,9.440601563,,4.328293457,,,,,
POLES,EU7,Portugal,Final Energy|Industry,EJ/yr,,,,,0.307677629,0.312239217,0.315590599,0.307868733,0.296017288,,0.266820369,,0.240276118,,,,,
POLES,EU7,Portugal,Value Added|Industry,billion €2010/yr,,,,,41.3710834,44.08120703,46.92808359,49.3479228,51.07246102,,54.01644279,,55.82125938,,,,,
POLES,EU7,ROW,Emissions|CO2,Mt CO2/yr,,,,,92.6908125,91.21848438,90.37199219,88.82423438,86.83261719,,82.29932813,,79.14294531,,,,,
POLES,EU7,ROW,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,89.22246875,87.85739063,87.10707813,85.66707031,83.79934375,,79.58134375,,76.80277344,,,,,
POLES,EU7,ROW,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,16.02222852,14.62514258,14.07105957,13.73576074,13.55177441,,12.92311914,,11.90272754,,,,,
POLES,EU7,ROW,Final Energy|Industry,EJ/yr,,,,,0.576456287,0.539886756,0.528145603,0.515723114,0.505958752,,0.474679677,,0.426520478,,,,,
POLES,EU7,ROW,Value Added|Industry,billion €2010/yr,,,,,138.0726476,140.0339823,141.9007226,143.1058674,143.4486947,,139.9188881,,131.2635159,,,,,
POLES,EU7,Romania,Emissions|CO2,Mt CO2/yr,,,,,85.92785156,89.99173438,82.56349219,69.85925781,60.57155078,,37.76892578,,15.92390332,,,,,
POLES,EU7,Romania,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,76.63569531,80.22309375,72.92554688,60.6511875,51.93753906,,31.05060742,,12.91517285,,,,,
POLES,EU7,Romania,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,22.52930664,24.24970508,24.19298047,22.6256582,20.87962695,,14.2613125,,6.111683105,,,,,
POLES,EU7,Romania,Final Energy|Industry,EJ/yr,,,,,0.372791077,0.410920437,0.426252711,0.413505213,0.411682892,,0.396948423,,0.353158011,,,,,
POLES,EU7,Romania,Value Added|Industry,billion €2010/yr,,,,,50.23438889,56.63149947,62.95512242,67.53191048,73.29639907,,84.24022047,,87.2531788,,,,,
POLES,EU7,Slovakia,Emissions|CO2,Mt CO2/yr,,,,,41.19126172,45.19313281,42.98185156,38.43760938,33.49134766,,21.04910938,,9.699578125,,,,,
POLES,EU7,Slovakia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,35.24011719,39.17013281,37.55484375,33.68546484,29.3979043,,18.25838281,,8.490992188,,,,,
POLES,EU7,Slovakia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,14.46185645,14.80871582,13.32677441,11.4952168,9.721070313,,5.972347168,,2.570635254,,,,,
POLES,EU7,Slovakia,Final Energy|Industry,EJ/yr,,,,,0.237353515,0.249588416,0.239164715,0.220522538,0.20438132,,0.171060392,,0.142951744,,,,,
POLES,EU7,Slovakia,Value Added|Industry,billion €2010/yr,,,,,36.5916353,40.5454098,43.51858245,46.88188654,50.21865879,,55.62265517,,57.57416766,,,,,
POLES,EU7,Slovenia,Emissions|CO2,Mt CO2/yr,,,,,14.91932422,14.37177539,13.33389746,11.72811621,10.32908105,,6.841327148,,3.412138916,,,,,
POLES,EU7,Slovenia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,14.1928457,13.65180469,12.6190791,11.0310498,9.673161133,,6.352205566,,3.196378906,,,,,
POLES,EU7,Slovenia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,2.89435791,2.815949707,2.745868896,2.556868164,2.30884082,,1.607131348,,0.81864563,,,,,
POLES,EU7,Slovenia,Final Energy|Industry,EJ/yr,,,,,0.068504491,0.068092368,0.067900671,0.065746917,0.063386419,,0.056064717,,0.047466307,,,,,
POLES,EU7,Slovenia,Value Added|Industry,billion €2010/yr,,,,,15.61379335,16.68555118,17.58359326,18.40754589,19.12851134,,20.06410253,,20.19871547,,,,,
POLES,EU7,Spain,Emissions|CO2,Mt CO2/yr,,,,,309.006625,323.65075,315.6949375,295.3505,268.714625,,185.1141875,,100.8362188,,,,,
POLES,EU7,Spain,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,286.3424063,300.9610938,293.7156563,273.953375,248.5625781,,169.545125,,93.70535156,,,,,
POLES,EU7,Spain,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,63.37268359,62.40137891,61.16253125,59.49541797,55.18098438,,36.60855859,,16.46674805,,,,,
POLES,EU7,Spain,Final Energy|Industry,EJ/yr,,,,,1.269971577,1.290242313,1.313059882,1.330277116,1.327886715,,1.27648614,,1.185489721,,,,,
POLES,EU7,Spain,Value Added|Industry,billion €2010/yr,,,,,283.3485728,313.0848379,342.0227683,372.4417359,398.3341855,,447.9837911,,488.961884,,,,,
POLES,EU7,Sweden,Emissions|CO2,Mt CO2/yr,,,,,50.20219141,51.37284375,51.05017578,48.66194141,45.70853906,,28.49316992,,12.10792285,,,,,
POLES,EU7,Sweden,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,46.41049609,47.66490625,47.56480469,45.46928125,42.89040234,,26.59930469,,11.29357324,,,,,
POLES,EU7,Sweden,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,11.67660449,11.77137207,11.24818164,10.43420313,9.353750977,,5.895646973,,2.515093018,,,,,
POLES,EU7,Sweden,Final Energy|Industry,EJ/yr,,,,,0.532456985,0.539280038,0.541548719,0.532633289,0.520285172,,0.475625836,,0.427729907,,,,,
POLES,EU7,Sweden,Value Added|Industry,billion €2010/yr,,,,,72.49427062,77.87154548,83.4911488,88.61027198,92.86324956,,98.84371066,,104.0272924,,,,,
POLES,EU7,UK,Emissions|CO2,Mt CO2/yr,,,,,478.5526875,464.9445313,439.512,390.3493438,341.2981875,,221.137625,,103.1263047,,,,,
POLES,EU7,UK,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,461.7060938,447.9134688,423.6729375,376.0938125,328.64575,,212.3383281,,99.27466406,,,,,
POLES,EU7,UK,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,72.03149219,67.51029688,63.25477344,57.4885,51.40796875,,34.78042578,,16.83091602,,,,,
POLES,EU7,UK,Final Energy|Industry,EJ/yr,,,,,1.562748123,1.486680181,1.461829397,1.408316369,1.355911944,,1.207457174,,1.025295312,,,,,
POLES,EU7,UK,Value Added|Industry,billion €2010/yr,,,,,350.4869927,378.7056631,404.7907504,427.7914266,448.5752789,,482.3877002,,506.1053188,,,,,
POLES,EU7,World,Emissions|CO2,Mt CO2/yr,,,,,31757.836,36465.06,40944.788,44388.632,47433.228,,51059.548,,50168.376,,,,,
POLES,EU7,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,29085.936,33202.654,37232.836,40448.72,43445.044,,47264.592,,46836.972,,,,,
POLES,EU7,World,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,7776.7865,8847.208,9882.452,10375.89,10606.553,,10260.693,,9184.321,,,,,
POLES,EU7,World,Final Energy|Industry,EJ/yr,,,,,135.4216273,152.8614496,172.7238591,185.930701,195.4723554,,200.9030118,,190.4126914,,,,,
POLES,EU7,World,Value Added|Industry,billion €2010/yr,,,,,16083.97471,20393.77513,25188.7344,29707.45545,33661.32179,,39853.47384,,43960.6858,,,,,
POLES,EU8,Austria,Emissions|CO2,Mt CO2/yr,,,,,64.83867578,66.35759375,62.37134766,55.83585156,46.49312891,,22.97553711,,7.982644043,,,,,
POLES,EU8,Austria,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,58.27391016,59.86190625,56.54249219,50.88607031,42.54683984,,21.14966406,,7.800007813,,,,,
POLES,EU8,Austria,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,17.63964453,17.26366992,15.91876953,13.8571084,11.04121484,,4.89104248,,1.202371582,,,,,
POLES,EU8,Austria,Final Energy|Industry,EJ/yr,,,,,0.399747773,0.396339047,0.395773338,0.381764322,0.360655327,,0.307956762,,0.257505168,,,,,
POLES,EU8,Austria,Value Added|Industry,billion €2010/yr,,,,,78.98685511,84.79111558,90.44666259,95.85991562,100.6800392,,109.2505288,,115.19486,,,,,
POLES,EU8,Belgium,Emissions|CO2,Mt CO2/yr,,,,,99.59658594,103.1742969,102.3783828,94.23134375,82.51433594,,50.23530078,,27.02279102,,,,,
POLES,EU8,Belgium,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,89.648125,93.72027344,93.73586719,86.64645313,76.13055469,,47.05563672,,26.82730859,,,,,
POLES,EU8,Belgium,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,30.3737832,29.4920332,27.84277539,24.73026563,20.87152344,,10.83201953,,3.315779785,,,,,
POLES,EU8,Belgium,Final Energy|Industry,EJ/yr,,,,,0.730515563,0.711996332,0.6941613,0.649536881,0.596558324,,0.467618418,,0.351369013,,,,,
POLES,EU8,Belgium,Value Added|Industry,billion €2010/yr,,,,,71.17243137,76.33031937,82.114418,87.22899562,91.89591535,,100.855219,,109.592963,,,,,
POLES,EU8,Brazil,Emissions|CO2,Mt CO2/yr,,,,,1047.134813,892.9729688,1061.604031,1250.060375,1149.354563,,659.3003672,,345.9462188,,,,,
POLES,EU8,Brazil,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,361.468125,446.9743438,478.6040313,486.254,527.5725625,,558.4966875,,468.7689063,,,,,
POLES,EU8,Brazil,Final Energy|Industry,EJ/yr,,,,,3.950504858,4.831868453,5.433684319,6.023895225,6.621429434,,7.315403309,,7.082260697,,,,,
POLES,EU8,Bulgaria,Emissions|CO2,Mt CO2/yr,,,,,51.61587109,54.55687891,47.69897656,39.45956641,31.23285938,,17.28347656,,7.463287109,,,,,
POLES,EU8,Bulgaria,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,47.48763672,50.50653906,44.13632031,36.34933984,28.56066992,,15.80775684,,7.373720215,,,,,
POLES,EU8,Bulgaria,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,9.487535156,9.558416016,8.663895508,7.64828418,6.433755859,,3.359235596,,0.80758667,,,,,
POLES,EU8,Bulgaria,Final Energy|Industry,EJ/yr,,,,,0.169594327,0.18575975,0.182220269,0.172438735,0.161395988,,0.14113252,,0.115807777,,,,,
POLES,EU8,Bulgaria,Value Added|Industry,billion €2010/yr,,,,,19.68498148,22.04143123,24.05285332,26.01579696,27.7486779,,30.59532339,,31.3064614,,,,,
POLES,EU8,China,Emissions|CO2,Mt CO2/yr,,,,,7380.179,9113.707422,11518.53131,13667.48133,14875.9625,,15009.62236,,12140.74775,,,,,
POLES,EU8,China,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,6962.179,8856.545,11333.972,13440.148,14566.48,,14789.497,,12143.015,,,,,
POLES,EU8,China,Final Energy|Industry,EJ/yr,,,,,39.10224702,47.47801892,58.02427505,63.15735988,63.72541444,,56.16129035,,41.99539124,,,,,
POLES,EU8,Czech Republic,Emissions|CO2,Mt CO2/yr,,,,,115.5766484,121.5468594,115.4768125,104.0090469,87.996375,,52.09394922,,27.81145313,,,,,
POLES,EU8,Czech Republic,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,107.3460313,112.6247031,107.6204688,97.49740625,82.79045313,,49.56720313,,27.59369531,,,,,
POLES,EU8,Czech Republic,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,25.69620117,26.71406836,23.94250195,19.93338672,15.52913672,,6.786099121,,1.656736206,,,,,
POLES,EU8,Czech Republic,Final Energy|Industry,EJ/yr,,,,,0.499699854,0.512815292,0.480136745,0.431966262,0.383529075,,0.293711972,,0.228424326,,,,,
